phenomenonTime,result
2019-11-12T00:52:49.849Z,27.72
2019-11-12T00:50:43.233Z,10.44
2019-11-12T00:49:41.352Z,7.56
2019-11-12T00:48:34.452Z,16.2
2019-11-12T00:47:32.137Z,17.64
2019-11-12T00:46:28.943Z,13.32
2019-11-12T00:45:27.367Z,8.28
2019-11-12T00:43:50.193Z,7.56
2019-11-12T00:41:12.944Z,5.4
2019-11-12T00:38:04.989Z,22.32
2019-11-12T00:37:01.422Z,16.92
2019-11-12T00:35:57.869Z,26.28
2019-11-12T00:34:55.938Z,14.04
2019-11-12T00:33:51.710Z,18.36
2019-11-12T00:32:48.168Z,3.24
2019-11-12T00:31:45.037Z,27.72
2019-11-12T00:30:43.297Z,19.08
2019-11-12T00:29:44.152Z,11.16
2019-11-12T00:28:38.420Z,21.96
2019-11-12T00:27:36.165Z,16.92
2019-11-12T00:26:32.084Z,34.92
2019-11-12T00:24:24.553Z,16.92
2019-11-12T00:23:22.955Z,2.52
2019-11-12T00:22:18.406Z,15.48
2019-11-12T00:21:15.591Z,12.6
2019-11-12T00:20:12.159Z,8.28
2019-11-12T00:18:08.211Z,11.88
2019-11-12T00:17:03.034Z,0
2019-11-12T00:13:54.525Z,0
2019-11-12T00:10:44.881Z,3.24
2019-11-12T00:08:42.484Z,12.6
2019-11-12T00:07:38.156Z,14.04
2019-11-12T00:05:29.406Z,28.44
2019-11-12T00:04:27.523Z,5.4
2019-11-12T00:03:24.320Z,0
2019-11-12T00:02:20.295Z,4.68
2019-11-12T00:01:16.926Z,0
2019-11-12T00:00:14.764Z,0
2019-11-11T23:59:10.924Z,0
2019-11-11T23:58:10.184Z,17.64
2019-11-11T23:57:07.432Z,25.56
2019-11-11T23:56:03.243Z,6.12
2019-11-11T23:54:59.284Z,0
2019-11-11T23:53:56.007Z,2.52
2019-11-11T23:51:50.576Z,14.04
2019-11-11T23:50:47.660Z,20.52
2019-11-11T23:47:40.987Z,8.28
2019-11-11T23:46:36.959Z,0
2019-11-11T23:45:32.641Z,10.44
2019-11-11T23:44:32.170Z,21.96
2019-11-11T23:43:27.275Z,12.6
2019-11-11T23:42:21.569Z,16.92
2019-11-11T23:41:18.565Z,0
2019-11-11T23:40:15.718Z,0
2019-11-11T23:39:12.054Z,10.44
2019-11-11T23:38:12.293Z,15.48
2019-11-11T23:37:07.038Z,0
2019-11-11T23:36:05.944Z,0
2019-11-11T23:35:01.057Z,0
2019-11-11T23:33:57.304Z,14.04
2019-11-11T23:32:53.579Z,6.84
2019-11-11T23:30:47.546Z,14.76
2019-11-11T23:29:44.588Z,12.6
2019-11-11T23:26:35.501Z,21.24
2019-11-11T23:25:32.584Z,4.68
2019-11-11T23:19:44.873Z,6.12
2019-11-11T23:17:44.971Z,17.64
2019-11-11T23:16:36.013Z,9
2019-11-11T23:15:33.750Z,23.76
2019-11-11T23:14:30.763Z,5.4
2019-11-11T23:13:27.625Z,11.16
2019-11-11T23:12:24.200Z,12.6
2019-11-11T23:11:21.780Z,24.12
2019-11-11T22:39:19.619Z,17.64
2019-11-11T22:37:13.424Z,0
2019-11-11T22:33:02.156Z,18.36
2019-11-11T22:31:57.864Z,0
2019-11-11T22:28:48.479Z,14.04
2019-11-11T22:27:44.943Z,10.44
2019-11-11T22:25:42.745Z,14.04
2019-11-11T22:24:36.799Z,29.88
2019-11-11T22:22:32.158Z,6.12
2019-11-11T22:20:55.611Z,19.08
2019-11-11T22:19:20.726Z,9
2019-11-11T22:14:37.002Z,30.6
2019-11-11T22:13:04.114Z,17.64
2019-11-11T22:11:29.877Z,26.28
2019-11-11T22:09:53.291Z,6.12
2019-11-11T22:04:39.551Z,13.32
2019-11-11T22:03:37.380Z,21.24
2019-11-11T22:02:34.634Z,6.84
2019-11-11T22:01:35.099Z,11.16
2019-11-11T22:00:27.541Z,7.56
2019-11-11T21:59:23.951Z,4.68
2019-11-11T21:58:21.137Z,0
2019-11-11T21:57:17.309Z,3.24
2019-11-11T21:56:14.389Z,32.04
2019-11-11T21:55:12.029Z,13.32
2019-11-11T21:54:08.788Z,21.96
2019-11-11T21:53:08.520Z,34.92
2019-11-11T21:52:04.736Z,9
2019-11-11T21:51:00.874Z,36
2019-11-11T21:48:53.796Z,28.44
2019-11-11T21:46:48.953Z,0
2019-11-11T21:45:50.927Z,13.32
2019-11-11T21:43:43.670Z,3.96
2019-11-11T21:42:38.177Z,17.64
2019-11-11T21:41:35.126Z,17.64
2019-11-11T21:40:30.285Z,18.36
2019-11-11T21:39:26.633Z,0
2019-11-11T21:37:19.957Z,3.24
2019-11-11T21:36:16.840Z,24.84
2019-11-11T21:35:15.132Z,10.44
2019-11-11T21:34:10.986Z,3.96
2019-11-11T21:32:07.265Z,34.92
2019-11-11T21:31:06.208Z,8.28
2019-11-11T21:30:02.128Z,27
2019-11-11T21:28:56.419Z,33.48
2019-11-11T21:27:52.909Z,4.68
2019-11-11T21:24:44.297Z,5.4
2019-11-11T21:23:45.635Z,0
2019-11-11T21:22:37.863Z,14.04
2019-11-11T21:21:38.930Z,18.36
2019-11-11T21:18:28.006Z,0
2019-11-11T21:17:23.559Z,33.48
2019-11-11T21:16:20.477Z,29.88
2019-11-11T21:14:15.072Z,14.04
2019-11-11T21:12:11.333Z,14.04
2019-11-11T21:11:07.395Z,7.56
2019-11-11T21:10:05.108Z,11.16
2019-11-11T21:08:59.997Z,28.44
2019-11-11T21:03:12.571Z,24.12
2019-11-11T21:02:14.104Z,28.44
2019-11-11T21:00:04.337Z,3.24
2019-11-11T20:49:35.197Z,8.28
2019-11-11T20:47:59.195Z,5.4
2019-11-11T20:44:17.622Z,22.32
2019-11-11T20:43:14.359Z,9.72
2019-11-11T20:41:11.839Z,16.2
2019-11-11T20:40:06.019Z,16.2
2019-11-11T20:39:04.274Z,17.64
2019-11-11T20:38:00.774Z,17.64
2019-11-11T20:36:56.962Z,33.48
2019-11-11T20:35:52.963Z,11.88
2019-11-11T20:34:50.669Z,11.16
2019-11-11T20:32:43.282Z,32.76
2019-11-11T20:31:43.300Z,0
2019-11-11T20:30:40.448Z,9.72
2019-11-11T20:29:37.965Z,7.56
2019-11-11T20:28:31.315Z,27.72
2019-11-11T20:27:30.208Z,68.04
2019-11-11T20:26:25.133Z,38.88
2019-11-11T20:25:21.942Z,30.6
2019-11-11T20:24:18.163Z,16.92
2019-11-11T20:21:14.781Z,3.96
2019-11-11T20:20:06.150Z,4.68
2019-11-11T20:19:06.544Z,23.04
2019-11-11T20:18:02.720Z,36.72
2019-11-11T20:16:58.922Z,8.28
2019-11-11T20:15:54.458Z,6.12
2019-11-11T20:14:51.713Z,27.72
2019-11-11T20:10:38.320Z,16.92
2019-11-11T20:09:37.461Z,6.12
2019-11-11T20:07:30.790Z,36
2019-11-11T20:05:24.462Z,35.28
2019-11-11T20:04:20.365Z,41.04
2019-11-11T20:03:17.253Z,40.32
2019-11-11T20:02:14.074Z,41.76
2019-11-11T20:00:08.017Z,21.96
2019-11-11T19:59:10.029Z,22.32
